R000.0	후한의 기도위. 이각의 부하였으나⏎도망쳐 독립했다. 헌제의 장안 탈출에⏎공을 세웠다. 조조와 권세를 다투다⏎패하여 원술에게로 달아났다
R001.0	촉한의 오호대장 중 1명. 유비, 관우와⏎의형제를 맺었다. 장판파 전투 때 홀로⏎장판교 위에서 조조군 백만의 추격을⏎막았다. 정사의 자는 익덕(더할 익)
R002.0	촉한 오호대장의 필두. 유비, 장비와⏎의형제를 맺었다. 무용은 「병사 1만에⏎필적한다」는 평을 들었다. 유비 입촉⏎후 형주를 지키다 오군에 잡혀 죽었다
R003.0	후한의 장수. 「사람 중엔 여포,⏎말 중엔 적토」라 불린 맹장. 배신을⏎거듭하며 대륙을 휩쓸었으나 자신도⏎부하에게 배신당해 허망하게 죽었다
R004.0	마등의 장남. 「금마초」라 불렸다.⏎부친의 원수 조조를 치려고 서량병을⏎이끌고 장안을 급습했으나 패했다.⏎후에 유비에게 귀순해 오호대장이 됨
R005.0	명문 원씨 가문 출신. 반동탁 연합군의⏎맹주가 되었다. 동탁 사후 중원 제패를⏎노리고 조조와 다퉜으나, 우유부단한⏎성격 탓에 관도대전에서 대패했다
R006.0	위의 장수. 하후돈의 종제. 조조 거병⏎때부터 한 축을 맡았다. 급습에 능한⏎명장이었으나 정군산 전투에서 촉장⏎법정의 계책에 걸려 황충에게 베였다
R007.0	위의 무장. 조조의 친척. 여포와의⏎전투에서 조성의 화살을 맞아 왼눈을⏎잃었다. 이후에도 군을 이끌고 각지를⏎전전. 조조가 죽자 뒤따르듯 병사했다
R008.0	동탁 휘하의 맹장. 신장 9척. 사수관⏎전투에서 손견군을 격파하고 기세를⏎몰아 쳐들어갔으나 관우에게 베였다.⏎정사에선 반대로 손견에게 패해 베였다
R009.0	촉한의 장수. 원소, 공손찬을 섬긴 뒤⏎유비에게 귀순했다. 장판에서는 백만⏎대군에 단기로 뛰어들어 유비의 아들⏎아두(훗날의 유선)를 구했다. 오호대장
R010.0	원소 휘하의 맹장. 백마 전투의 선봉이⏎되어 송헌, 위속을 베었다. 이어서⏎맹장 서황마저 패주시켰으나 당시 조조⏎휘하에 있던 관우에게 일합에 베였다
R011.0	원소 휘하의 맹장. 동료 안량의 원수를⏎갚고자 연진에 출진했다가 조조군의⏎습격을 받아 분전했다. 장료, 서황 두⏎장수를 물리쳤으나 관우 손에 쓰러졌다
R012.0	위의 장수. 신장 8척의 거한. 전위와⏎호각으로 싸워 실력을 인정받고⏎조조의 호위가 되었다. 평소엔 멍하나⏎전장에선 용맹해 「호치」라 불렸다
R013.0	조조 휘하의 무장. 옛 호걸 「악래」라⏎불린 거한. 완성에서 장수군의 야습을⏎받았을 때 조조를 피신시키려 맨손으로⏎맞서다 전사했다
R014.0	위의 장수. 여포 휘하의 장수로 각지를⏎전전했다. 여포가 패사한 뒤 조조를⏎섬겼다. 합비를 지킬 때 불과 800의⏎병사로 10만 오군을 격퇴했다
R015.0	촉한의 장수. 유표 휘하였으나 유비를⏎섬겨 오호대장 다음가는 맹장으로⏎활약. 제갈량 사후 참모 양의와 대립해⏎제갈량의 밀명을 받은 마대에게 베였다
R016.0	유비 휘하의 장수. 유장 휘하 장수로⏎파군을 지키다 장비와 싸워 붙잡혔으나⏎장비의 태도에 감복해 귀순했다. 한중⏎공략전에선 황충을 따라 활약했다
R017.0	오의 장수. 금범이라는 수적 출신.⏎황조 밑에서 불우했으나 소비 덕에⏎손권에게 귀순했다. 황조 토벌, 적벽,⏎위와의 싸움에서 활약해 신임을 얻었다
R018.0	유비의 장수. 관정의 차남. 관우가⏎아껴 양자로 삼았다. 유비 입촉 후⏎부친과 형주를 지키다 맥성에서 오군에⏎잡혀 베였다. 정사엔 양자 기록이 없다
R019.0	오의 숙장. 손견 거병 때부터 섬겼다.⏎철편의 달인. 적벽대전 때 주유와 함께⏎「고육지책」을 펼쳐 조조에게 거짓⏎투항해 불을 놓아 오에 승리를 안겼다
R020.0	원래 황건적 장보 휘하의 대장. 이후⏎와우산에서 산적이 되었다. 숭배하던⏎관우를 만나 오른팔이 되었다. 헤엄에⏎능했다. 정사에는 등장하지 않는 인물
