M11237.0	{C:9b}＜포로를 되찾아라!＞{C:32b}⏎　「{C:10b}반환{C:32b}」으로 포로가 된 무장을⏎　되찾을 수 있습니다. 포로 무장의⏎　{C:10b}능력이 높으면{C:32b} 상대가 요구하는⏎　금도 많아집니다. 아이템을 요구할⏎　때도 있습니다.
M11238.0	{C:9b}＜무익한 싸움은 하지 말라＞{C:32b}⏎　「{C:10b}권고{C:32b}」가 성공하면 적 군주가⏎　부하가 되고, 도시와 무장 일부를⏎　얻습니다. 성공하려면 자세력과⏎　타세력의 {C:10b}신망{C:32b} 차이가 상당히 커야⏎　합니다. 게임 초반에는 성공하기⏎　어려우니, 세력이 커지면 시도해⏎　봅시다.
M11239.0	{C:9b}＜우호 보는 법＞{C:32b}⏎　타세력과의 우호 관계는 5가지⏎　상태로 나뉩니다. 관계가 좋은⏎　순서대로 보면 다음과 같습니다.⏎⏎　{C:10b}신뢰{C:32b}……완전히 신뢰하는 상태⏎　{C:10b}호의{C:32b}……공격해 올 일은 거의 없다⏎　{C:10b}중립{C:32b}……외교에 따라 적도 아군도⏎　{C:10b}불화{C:32b}……공격해 올 가능성이 있다⏎　{C:10b}험악{C:32b}……적대. 관계 회복은 어렵다
M11240.0	{C:9b}＜증정 성공 요령＞{C:32b}⏎　①증정할 세력과의 {C:10b}우호{C:32b}가 높다⏎　②사자가 될 무장의 {C:10b}정치{C:32b}가 높다⏎　③보내는 물자의 양이 많다⏎　　(금, 병량의 경우)
M11241.0	{C:9b}＜요청 성공 요령＞{C:32b}⏎　요청할 세력(대상세력)과의 우호나⏎　지리 관계 등이 영향을 미칩니다.⏎　⏎　①{C:10b}대상세력{C:32b}과 {C:10b}표적시설을 지배하는⏎　　세력{C:32b}의 사이가 나쁘다⏎　②대상세력과의 우호가 좋다⏎　③표적시설이 대상세력의 지배⏎　　지역과 {C:10b}가까운 곳에 있다{C:32b}⏎　④사자의 {C:10b}정치{C:32b}가 높다
M11242.0	{C:9b}＜부하를 어서 되찾아라!＞{C:32b}⏎　포로무장의 충성은 점점⏎　떨어집니다. 사로잡히면 서둘러⏎　「{C:10b}반환{C:32b}」을 실행해 되찾읍시다.⏎⏎　적에게서 사로잡은 포로무장도⏎　충성이 떨어집니다. 끈질기게⏎　「{C:10b}등용{C:32b}」을 시도합시다. 마음을⏎　열어 줄지도 모릅니다.
M11243.0	{C:9b}＜상대를 골라 권고하라＞{C:32b}⏎　군주의 {C:10b}야망{C:32b}이 높으면 「{C:10b}권고{C:32b}」는⏎　통하지 않습니다. 야망은 게임에서⏎　확인할 수 없지만, 조조, 유비,⏎　손권, 원소 같은 영웅들은 권고에⏎　거의 응하지 않습니다.⏎⏎　또한 「{C:10b}권고{C:32b}」에 실패하면 우호가⏎　떨어집니다. 적대 세력이 늘어나게⏎　되므로 주의합시다.
M11245.0	{C:9b}＜도독에게 맡긴다!＞{C:32b}⏎　「{C:10b}위임{C:32b}」으로 군단을 만들거나⏎　바꿀 수 있습니다. 군단의 통치자⏎　「{C:10b}도독{C:32b}」으로는 {C:10b}지휘 병사{C:32b}가 많은⏎　무장이 뽑힙니다. 충성이 높고⏎　신뢰할 수 있는 무장의 작위를⏎　올려 둡시다.⏎⏎　세력이 커지면 모든 도시를⏎　통치하기 어려워집니다. 도독에게⏎　여러 도시의 통치를 맡기는 편이⏎　효율적입니다.
M11246.0	{C:9b}＜군사의 조언에 귀를 기울여라＞{C:32b}⏎　「{C:10b}군사{C:32b}」로 군사를 임명, 변경할⏎　수 있습니다. 지력이 {C:10b}70 이상{C:32b}인⏎　무장이 대상입니다.⏎⏎　군사는 군주에게 여러 가지 조언을⏎　해 줍니다. 외교나 등용을 할 때는⏎　반드시 귀를 기울입시다. 군사의⏎　{C:10b}지력{C:32b}이 높을수록 조언이⏎　정확해집니다.
M11247.0	{C:9b}＜충성을 올린다!＞{C:32b}⏎　「{C:10b}포상{C:32b}」은 금을, 「{C:10b}수여{C:32b}」는⏎　아이템을 부하 무장에게 줍니다.⏎　받은 무장은 {C:10b}충성{C:32b}이 올라, 쉽게⏎　배신하지 않게 됩니다.⏎⏎　「{C:10b}몰수{C:32b}」를 실행하면 무장의⏎　아이템을 자기 것으로 만들 수⏎　있습니다. 단, 아이템을 빼앗긴⏎　무장의 충성은 크게 떨어집니다.
M11248.0	{C:9b}＜무장과 작별!＞{C:32b}⏎　「{C:10b}처단{C:32b}」된 포로무장은 더 이상⏎　게임에 등장하지 않습니다.⏎⏎　「{C:10b}추방{C:32b}」은 {C:10b}부하 무장{C:32b}을 재야로⏎　내보내고, {C:10b}포로무장{C:32b}을 해방합니다.⏎　추방한 무장을 다시 등용하기는⏎　어려워집니다. 포로무장을⏎　해방하면 그 무장이 속한 세력과의⏎　우호가 오릅니다.
M11249.0	{C:9b}＜위임방침에 대하여＞{C:32b}⏎　도독에게 통치를 맡길 때, 대략적인⏎　정책 방침을 정할 수 있습니다.⏎⏎　{C:10b}위임{C:32b}………때를 보아 출진. 내정은⏎　　　　　　균형 있게 한다.⏎　{C:10b}내정중시{C:32b}…내정을 최우선으로 한다.⏎　{C:10b}세력타도{C:32b}…계략, 출진을 자주 한다.⏎　　　　　　표적세력에 권고도 한다.⏎　{C:10b}시설공략{C:32b}…표적시설에 계략을 쓰고,⏎　　　　　　적극적으로 쳐들어간다.
M11250.0	{C:9b}＜전략 페이즈 첫머리에 주목＞{C:32b}⏎　「{C:10b}전략 페이즈{C:32b}」가 시작될 때,⏎　군사가 유익한 정보를 알려 주기도⏎　합니다.⏎　적 부대의 움직임, 각지에 묻힌⏎　인재나 아이템 정보, 무장의 수명⏎　등등, 내용은 다양합니다.⏎⏎　혹시 놓치더라도 {U:F0B8}{U:F0B9}버튼→⏎　「{C:10b}중지도{C:32b}」에서 내용을 천천히⏎　확인할 수 있습니다.
